BGI,5'RACE+UMI,iRepertoire,5'RACE,freq
1,0,0,0,0.00143515157168771
1,0,0,0,0.000932166938518362
1,0,0,0,0.000978626544305541
1,0,0,0,0.00124818875123884
1,0,0,0,0.00117938931270429
1,0,0,0,0.00219600498869699
1,0,0,0,0.00078248455934038
1,0,0,0,0.000115659827971931
1,0,0,0,0.00205623588404328
1,0,0,0,0.00197535297775046
1,0,0,0,0.00147467284445138
1,0,0,0,0.00113176180137419
1,0,0,0,0.00222138719458209
1,0,0,0,0.00146532898989631
1,0,0,0,0.00398116504667898
1,0,0,0,0.00224253525712339
1,0,0,0,0.00229844142927532
1,0,0,0,0.000490952515255774
1,0,0,0,0.00128912155317955
1,0,0,0,0.000941259501428266
1,0,0,0,0.000138957826980661
1,0,0,0,0.00169320429503913
1,0,0,0,0.00306643428820245
1,0,0,0,0.000524966349340744
1,0,0,0,0.000905317128656645
1,0,0,0,0.00259522174029544
1,0,0,0,0.000133162343024105
1,0,0,0,0.00324015731807825
1,0,0,0,0.00222883385333466
1,0,0,0,0.00110780969645191
1,0,0,0,0.00070259935237756
1,0,0,0,0.000737191075286752
1,0,0,0,0.00393471209790576
1,0,0,0,0.000981869530527818
1,0,0,0,0.00125311221293298
1,0,0,0,0.000275293087800064
1,0,0,0,0.000570431170648027
1,0,0,0,0.00071837596412273
1,0,0,0,0.000275485590214141
1,0,0,0,0.000849083133541744
1,0,0,0,0.000841361203041476
1,0,0,0,0.000360969169149684
1,0,0,0,0.000675381589346664
1,0,0,0,0.00179024449327485
1,0,0,0,0.000828212249935906
1,0,0,0,0.00181701453622738
1,0,0,0,0.000109552535451243
1,0,0,0,0.00114098798159076
1,0,0,0,0.00277133030689586
1,0,0,0,0.0018999257845742
1,0,0,0,0.000286548937023302
1,0,0,0,0.0019387414540146
1,0,0,0,0.00195280760298529
1,0,0,0,0.00032517248133767
1,0,0,0,0.000593506048747718
1,0,0,0,0.000890658369065024
1,0,0,0,0.00164801433274839
1,0,0,0,0.00222037659670401
1,0,0,0,0.000484407854443635
1,0,0,0,0.000543109069320584
1,0,0,0,0.000385556430539215
1,0,0,0,0.00394644661867281
1,0,0,0,0.00289228049263769
1,0,0,0,0.00275345101485702
1,0,0,0,0.00091972069349115
1,0,0,0,0.00270494173140411
1,0,0,0,0.00502210967069119
1,0,0,0,0.00448564829362789
1,0,0,0,0.00107283548593135
1,0,0,0,0.00339785367830863
1,0,0,0,0.000888912041740777
